WKT,color
"LINESTRING (11.183690169571 49.785292369703,11.183526439835 49.785386061666)",ff0aff04
"LINESTRING (11.183690169571 49.785292369703,11.183464799335 49.785295803565)",ff0aff04
"LINESTRING (11.186340213637 49.780116162743,11.186281090055 49.780196831120)",ff0aff04
"LINESTRING (11.920509835977 50.309784071224,11.920552037651 50.309804473882)",ff0aff04
"LINESTRING (11.920509835977 50.309784071224,11.920479895792 50.309827260918)",ff0aff04
"LINESTRING (10.963566898789 49.597101500856,10.963592784426 49.597167763181)",ff0aff04
"LINESTRING (11.920697633728 50.309767138930,11.920656622240 50.309831557811)",ff0aff04
"LINESTRING (11.920697633728 50.309767138930,11.920661993843 50.309726714928)",ff1e1eff
"LINESTRING (11.920697633728 50.309767138930,11.920712498368 50.309814137687)",ff0aff04
"LINESTRING (11.920697633728 50.309767138930,11.920686184034 50.309726227797)",ff0aff04
"LINESTRING (10.981609989548 49.477771202119,10.981525242529 49.477824904353)",ff0aff04
"LINESTRING (11.005627045808 49.594882828427,11.005447476359 49.594941665431)",ff0aff04
"LINESTRING (11.005627045808 49.594882828427,11.005522765992 49.594916546300)",ff7cff79
"LINESTRING (11.005627045808 49.594882828427,11.005522765992 49.594916546300)",ff0aff04
"LINESTRING (11.005447476359 49.594941665431,11.005627045808 49.594882828427)",ff7cff79
"LINESTRING (11.005447476359 49.594941665431,11.005627045808 49.594882828427)",ff0aff04
"LINESTRING (11.005447476359 49.594941665431,11.005508258320 49.594950811572)",ff0aff04
"LINESTRING (11.005447476359 49.594941665431,11.005522765992 49.594916546300)",ff0aff04
"LINESTRING (11.005447476359 49.594941665431,11.005522765992 49.594916546300)",ff0aff04
"LINESTRING (11.034804856712 49.591176683461,11.034688136607 49.591140778651)",ff0aff04
"LINESTRING (11.034804856712 49.591176683461,11.034862524206 49.591156311612)",ff0aff04
"LINESTRING (11.034804856712 49.591176683461,11.034815238260 49.591138425180)",ff0aff04
"LINESTRING (11.034804856712 49.591176683461,11.035051853818 49.591196700866)",ff0aff04
"LINESTRING (11.034804856712 49.591176683461,11.034869316514 49.591122437390)",ff0aff04
"LINESTRING (10.974855534625 49.478257850026,10.974920517143 49.478231167848)",ff0aff04
"LINESTRING (10.512794708107 50.036744656144,10.512596210265 50.036751556466)",ff7cff79
"LINESTRING (10.515552004599 50.026455164728,10.515629101714 50.026300890994)",ff7cff79
"LINESTRING (10.515552004599 50.026455164728,10.512150977942 50.030120676764)",ff0aff04
"LINESTRING (10.515552004599 50.026455164728,10.515770947097 50.026235582881)",ff7cff79
"LINESTRING (10.515552004599 50.026455164728,10.509712821198 50.031443173406)",ff7cff79
"LINESTRING (10.515552004599 50.026455164728,10.515627113639 50.026398888728)",ff0aff04
"LINESTRING (10.515552004599 50.026455164728,10.515806685094 50.026254851403)",ff0aff04
